ERCC_ID	expected fold-change ratio	FC_Trim_Rn4	FC_Untrim_Rn4	FC_Trim_Rn6	FC_Untrim_Rn6
ERCC-00002	0.5	1.5711806915	1.5728412647	1.5749545504	1.5785771081
ERCC-00003	0.5	1.5529172757	1.5431143405	1.5569712819	1.5490128254
ERCC-00004	4	1.529706431	1.5041905145	1.5351942082	1.5096175135
ERCC-00009	1	1.515457428	1.5327533216	1.519780258	1.5381512089
ERCC-00012	0.67	6.3725431569	6.2480087078	6.3967903477	6.2923268576
ERCC-00013	0.5	1.1056981613	1.317894278	1.1103608697	1.3226119462
ERCC-00014	0.5	3.2562632982	3.156288521	3.2767123787	3.1828322526
ERCC-00016	0.67	-1.3658706233	-1.453251638	-1.3608453702	-1.4495043718
ERCC-00017	4	3.6721977006	3.5781479823	3.6801442346	3.5797789115
ERCC-00019	4	1.7787269404	1.8063061267	1.7844748291	1.8084409164
ERCC-00022	0.5	1.6161052773	1.6167871189	1.6204836433	1.6223995556
ERCC-00024	0.67	NA	3.5781479823	NA	3.5797789115
ERCC-00025	1	1.7648018484	1.7876064752	1.7699858313	1.7942525655
ERCC-00028	4	1.1777641595	1.2325872121	1.1770997043	1.2311769823
ERCC-00031	1	2.2048793355	2.2254632869	2.202982377	2.2313539025
ERCC-00033	4	1.0677478576	1.2928000775	1.0695461941	1.293385799
ERCC-00034	1	1.4053491191	1.4983879668	1.4092329922	1.5058321487
ERCC-00035	1	1.7446053412	1.7538304733	1.7499487737	1.7602922008
ERCC-00039	0.67	1.772448725	1.8788539131	1.77788272	1.8868786908
ERCC-00040	0.67	2.461690491	2.2983877369	2.4663782723	2.3045850093
ERCC-00041	0.5	-1.4339240203	-1.5203894553	-1.4318714444	-1.5133443271
ERCC-00042	1	1.5984310093	1.6049030704	1.6033240499	1.611738781
ERCC-00043	0.5	1.5244129746	1.5055788583	1.527882996	1.5114032352
ERCC-00044	0.67	1.8276172062	1.7611379581	1.8355969	1.7703782957
ERCC-00046	0.5	1.7107901501	1.6965548984	1.7151577618	1.7030552389
ERCC-00048	0.5	3.6343481108	3.570972033	3.6284943198	3.5685190468
ERCC-00051	1	1.5066095068	1.4349041397	1.5105841462	1.43971466
ERCC-00053	1	1.5372568502	1.5082677313	1.5421635068	1.5143803557
ERCC-00054	0.67	1.6625363383	1.9490846992	1.6720173519	1.9636493405
ERCC-00057	0.67	NA	NA	NA	NA
ERCC-00058	0.67	1.0967414177	1.1357738058	1.0981984283	1.1430421061
ERCC-00059	0.5	1.4516436083	1.4816980909	1.4572408977	1.4901735939
ERCC-00060	1	1.4749912216	1.458391911	1.4792389894	1.4627380541
ERCC-00061	0.5	1.2673807663	1.1907296356	1.2729729833	1.1970566334
