gene_short_name	logFC	t	P.Value	adj.P.Val	B
Plch1	6.32918423	218.6595625571	3.94041764874051E-08	3.94041764874051E-08	6.6538285638
Slc35f1	6.0996838248	208.1773903809	4.65159041811125E-08	4.65159041811125E-08	6.6411979932
Grin2a	6.0742763407	207.0290911186	4.73930740053741E-08	4.73930740053741E-08	6.6397014176
Kirrel3	5.6837752923	188.7936314629	6.47087872716215E-08	6.47087872716215E-08	6.6123351337
Kcng1	5.2572946707	168.4097224422	9.51814399163207E-08	9.51814399163207E-08	6.5712656178
Dok7	5.068114613	159.2483983706	0.000000115	0.000000115	6.5478175311
Mpo	4.7341455477	142.9506799155	1.65559694704063E-07	1.65559694704063E-07	6.4953428616
Slc7a9	4.5461337315	133.7657318398	2.07185277200003E-07	2.07185277200003E-07	6.4577463824
Fam178b	4.5063392396	131.8225573199	2.17681477952849E-07	2.17681477952849E-07	6.4488639744
Cpa1	4.4459789457	128.8781297092	2.34938046635903E-07	2.34938046635903E-07	6.4347063024
Cdx4	4.4282612524	128.0154511819	2.40327786538784E-07	2.40327786538784E-07	6.4303904297
Cpvl	4.4193184051	127.5771853419	2.43127365843014E-07	2.43127365843014E-07	6.4281675584
Spo11	4.3840056459	125.8591491116	2.54518449838212E-07	2.54518449838212E-07	6.4192514295
Olah	4.3267081718	123.0738943578	2.74499198973487E-07	2.74499198973487E-07	6.4040795349
Adipoq	4.2955543818	121.5639273481	2.86184761947975E-07	2.86184761947975E-07	6.3954621113
Hrh1	4.2670411085	120.1800156093	2.97467134614051E-07	2.97467134614051E-07	6.3873085135
Lhx9	4.0741595033	110.885351323	3.90385369694193E-07	3.90385369694193E-07	6.3254028435
Lrrc10b	3.9840440527	106.5840928305	4.46185492149831E-07	4.46185492149831E-07	6.2918638965
Il20rb	3.8094768705	98.3520995947	5.85324664300139E-07	5.85324664300139E-07	6.2168669286
Plac1	3.740945325	95.1637184029	6.54222491970119E-07	6.54222491970119E-07	6.1833037475
Cacng4	3.6090898462	89.1046549306	0.000000817	0.000000817	6.1110839262
Tssk4	3.1696805034	87.7782362086	8.59394474903983E-07	8.59394474903983E-07	6.0936085079
Olr1694	3.5392654866	85.9437466255	9.22919280583445E-07	9.22919280583445E-07	6.0683418372
Il12a	3.2294147941	72.3793395231	1.648273687089E-06	1.648273687089E-06	5.8325792331
Pdhx	0.645109219	47.8520147839	6.6613244345996E-06	6.6613244345996E-06	5.0164984249
L3mbtl2	0.4643817093	47.7945200721	6.68839725178247E-06	6.68839725178247E-06	5.0135894643
Sik1	-1.5401708136	-47.7434320266	6.71257306616662E-06	6.71257306616662E-06	5.0109991014
Cml2	-0.3971789381	-45.5785905049	7.85007170659614E-06	7.85007170659614E-06	4.8962483217
Eif2ak1	0.3230211088	45.462762345	7.91774129519183E-06	7.91774129519183E-06	4.8898232782
Cyp4a1	4.2024491145	42.9172818782	9.61624033649259E-06	9.61624033649259E-06	4.7406821014
Oscar	1.7342534079	42.104027215	1.02571517513504E-05	1.02571517513504E-05	4.6896329007
Mgat5b	5.6463816012	39.5781326677	1.2636627867753E-05	1.2636627867753E-05	4.5194393751
Fbxw5	4.4371995098	38.3853886291	0.00001401	0.00001401	4.4324327916
