gene_short_name	logFC	t	P.Value	adj.P.Val	B
Il12a	3.1462139302	647.6031367869	1.06252758844826E-09	1.06252758844826E-09	9.8945036024
Cela3b	3.385571709	504.9587341907	2.45610395675875E-09	2.45610395675875E-09	9.8328519365
Olr1694	3.4572773464	477.0550396454	0.000000003	0.000000003	9.8142602974
Serp2	3.5132448915	458.6832462619	3.39492736749925E-09	3.39492736749925E-09	9.8002293796
Plac1	3.6596178458	421.2336101605	4.52278656812853E-09	4.52278656812853E-09	9.766112638
Il20rb	3.7283532196	407.7875574569	0.000000005	0.000000005	9.7516725325
ERCC-00098	3.7822504915	398.6169603225	5.44657576568077E-09	5.44657576568077E-09	9.7410359763
Vsig2	3.8285260739	391.649342944	5.77983662226418E-09	5.77983662226418E-09	9.7324878042
Lhx9	3.9937421588	371.9249400974	6.87854239046974E-09	6.87854239046974E-09	9.7058456785
LOC302022	4.0715609426	364.9089641824	7.33416719710702E-09	7.33416719710702E-09	9.6954006308
Slc35f1	6.0219183661	356.8439296911	7.9075052428975E-09	7.9075052428975E-09	9.6826920159
Hrh1	4.1870609744	356.5828062976	7.92702383430628E-09	7.92702383430628E-09	9.6822673561
Grin2a	5.9964973106	356.0816131823	0.000000008	0.000000008	9.6814498892
Adipoq	4.2156356768	354.8298273527	8.05968757514227E-09	8.05968757514227E-09	9.6793943761
Spo11	4.3042649298	350.1441377546	8.42871598787527E-09	8.42871598787527E-09	9.6715214004
Cpvl	4.3396456628	348.5564720931	8.55871336360436E-09	8.55871336360436E-09	9.668788136
Cpa1	4.3663592038	347.4458403975	8.65120040988074E-09	8.65120040988074E-09	9.6668558667
Gpr83	5.6098657098	346.0608162686	8.76836180816459E-09	8.76836180816459E-09	9.6644225308
Kirrel3	5.605718667	345.9808996241	8.77518470607821E-09	8.77518470607821E-09	9.6642813169
Slc7a9	4.4666941834	343.9295571872	0.000000009	0.000000009	9.6606259829
Kcnj11	5.3312438384	340.8992456446	9.22354847838581E-09	9.22354847838581E-09	9.6551165619
Kcng1	5.1788389368	338.9859700681	9.40004646954272E-09	9.40004646954272E-09	9.6515690446
RGD1312005	3.6638159487	266.7395616309	2.10715384811586E-08	2.10715384811586E-08	9.4650007967
Btd	-4.1893176249	-223.4114992748	3.82780685542117E-08	3.82780685542117E-08	9.2738324377
Smagp	-3.9311927197	-208.9474280763	0.000000048	0.000000048	9.1877171858
Rnase1l1	2.031313167	139.8052330845	1.85578428178635E-07	1.85578428178635E-07	8.4832449075
Insig2	-2.2549580365	-75.7126523139	1.46329466278786E-06	1.46329466278786E-06	6.7590401485
Armc7	-1.1740817679	-67.1735888807	2.18910035953389E-06	2.18910035953389E-06	6.3449796758
Pon3	-0.6405609869	-62.3465328091	2.81363166088035E-06	2.81363166088035E-06	6.0771536735
Cyp4a1	4.1440965999	61.5046577822	2.94535746867817E-06	2.94535746867817E-06	6.0275853604
Hes6	1.3191740714	60.9564721063	3.03545203706684E-06	3.03545203706684E-06	5.9948234573
Gps2	3.5927092132	51.9892024359	5.18518627035387E-06	5.18518627035387E-06	5.3979797007
Tmem120b	1.8287598504	48.2779009754	6.65232101823991E-06	6.65232101823991E-06	5.1118446715
Slc7a11	-3.814534537	-46.9397158075	0.000007312	0.000007312	5.0020353648
Lrrtm3	-5.6822935952	-38.7900392731	0.000013885	0.000013885	4.2421113513
Slc25a25	-2.4442994411	-37.322414876	1.58071034635837E-05	1.58071034635837E-05	4.0856853728
Nelfe	3.648805479	37.2983332454	1.58414341439905E-05	1.58414341439905E-05	4.0830608839
Clk1	0.6348148328	32.4823098837	2.5208835702642E-05	2.5208835702642E-05	3.5162979106
Sik1	-1.499244487	-31.4614606732	0.000028063	0.000028063	3.3842287756
Lmx1b	1.2197377164	31.0807894529	2.92340801612947E-05	2.92340801612947E-05	3.3337793523
Aig1	3.2774694946	30.5128693379	3.11017669399667E-05	3.11017669399667E-05	3.2572519729
Efcab3	-4.4420537675	-30.3479570352	3.16729333512412E-05	3.16729333512412E-05	3.2347402451
Aldh3a1	-4.4402020685	-30.3355146576	3.17165765458059E-05	3.17165765458059E-05	3.2330363969
Eif2b1	0.6479553493	29.553831446	3.46221129869373E-05	3.46221129869373E-05	3.1244508719
Rtn4r	-4.1395954642	-28.2909588421	4.00885689302282E-05	4.00885689302282E-05	2.9423138388
Ppp1r3c	-2.0855522565	-27.58269182	0.000043649	0.000043649	2.8363104819
Tnfsf9	-4.0058250374	-27.3813886275	4.47352355699617E-05	4.47352355699617E-05	2.8056515143
Sbds	0.7462096884	27.309865912	4.51295857427346E-05	4.51295857427346E-05	2.7947005748
LOC317165	5.3262743981	27.262738925	4.53918912285841E-05	4.53918912285841E-05	2.7874681956
Aldh1a1	1.7149903302	25.5948913876	5.60985305986222E-05	5.60985305986222E-05	2.5225927397
Nceh1	2.6587691015	24.9596826933	6.10312664242187E-05	6.10312664242187E-05	2.4168831991
Fads2	1.9954662741	24.886324768	6.16365937345049E-05	6.16365937345049E-05	2.4044932143
Bmp7	1.8345289275	24.8468590089	6.19654729120816E-05	6.19654729120816E-05	2.3978116509
Rhbdl2	-3.5069585471	-23.9905387312	6.9696821714011E-05	6.9696821714011E-05	2.2500294572
Hsdl2	1.9016294971	22.7148219091	8.37018788262313E-05	8.37018788262313E-05	2.0193208647
Dffa	0.7659340906	22.287630878	8.91980641004559E-05	8.91980641004559E-05	1.9390406143
Klf16	2.2356679298	22.1532309131	9.1023492179855E-05	9.1023492179855E-05	1.9134531289
Mospd4	-3.202945933	-21.9245610088	0.000094242	0.000094242	1.8695466501
Slc25a42	0.8973940675	21.4973007936	0.0001006615	0.0001006615	1.7862256544
Hsd17b4	0.5750471357	21.1158101817	0.0001068798	0.0001068798	1.7103732816
Samd14	-2.8691977577	-20.6664777136	0.0001148577	0.0001148577	1.6192010523
Acat1	1.0054520302	20.5499492702	0.0001170517	0.0001170517	1.5952239194
Krt23	5.5947822494	20.5234933759	0.0001175573	0.0001175573	1.5897608562
Mcoln1	0.7568249297	20.0969638408	0.0001261145	0.0001261145	1.5006728086
Crispld1	-5.2302350708	-19.6431892636	0.0001361254	0.0001361254	1.4037430583
Rassf7	0.4233404045	19.5646969123	0.0001379602	0.0001379602	1.3867445212
Phb	0.4411252368	18.2378573608	0.0001744574	0.0001744574	1.0883892321
Gpd1l	1.3253744919	17.8031891365	0.0001890934	0.0001890934	0.985835861
Noxo1	3.3673404824	17.4936888469	0.0002004953	0.0002004953	0.9112587382
Nufip1	0.4924919969	17.3458575881	0.0002062557	0.0002062557	0.8751660223
Ndufa10	0.3094971612	17.3334951303	0.0002067471	0.0002067471	0.872133709
