gene_short_name	logFC	t	P.Value	adj.P.Val	B	FC
Tdrd6	6.5719469891	227.2516414168	3.5e-08	3.5e-08	6.307772961	95.1378151616217
Plch1	6.2674667962	213.8291879538	4.3e-08	4.3e-08	6.2958329121	77.0363153842684
Slc35f1	5.7928245186	192.3632236512	6.14326834142272e-08	6.14326834142272e-08	6.2714943984	55.4388151303797
Kirrel3	5.6154277715	184.2007284617	7.11131309256443e-08	7.11131309256443e-08	6.2600270993	49.0243899058512
Kcng1	5.1889366197	164.2071157213	1.04797069727239e-07	1.04797069727239e-07	6.2247429987	36.477542164121
Dok7	4.9997504941	155.2280899023	1.26696743755667e-07	1.26696743755667e-07	6.2045439049	31.9944662605724
Mpo	4.6657671698	139.2634515823	1.827358112079e-07	1.827358112079e-07	6.1591990782	25.38258626772
Slc7a9	4.4777448651	130.2659803173	2.28932293188989e-07	2.28932293188989e-07	6.1265748918	22.2810430281188
Fam178b	4.4379496734	128.3664654792	2.40566219328382e-07	2.40566219328382e-07	6.1188676891	21.6748435269524
Cpa1	4.3775870116	125.4801725127	2.59754401234531e-07	2.59754401234531e-07	6.1065366817	20.786673718023
Cpvl	4.3509247605	124.2081912181	2.68840440812049e-07	2.68840440812049e-07	6.1008511062	20.4060460220285
Spo11	4.3156102984	122.5241914114	2.81513885846496e-07	2.81513885846496e-07	6.0930738024	19.9126082345935
Olah	4.2583092555	119.7995690971	3.03708349406242e-07	3.03708349406242e-07	6.079852897	19.1372185548631
Adipoq	4.2271536891	118.3186272975	3.1672756634883e-07	3.1672756634883e-07	6.0723165685	18.7283732753202
Hrh1	4.1986368106	116.9640730636	3.29276017942804e-07	3.29276017942804e-07	6.0651952371	18.361815568244
Il20rb	3.741039734	95.6003260911	6.5031126397781e-07	6.5031126397781e-07	5.9152947663	13.3710395963002
Plac1	3.670908622	92.407736201	7.29275854294877e-07	7.29275854294877e-07	5.8848329222	12.7366028388276
Cacng4	3.5406345619	86.554137857	9.09453497350945e-07	9.09453497350945e-07	5.8213595459	11.6368974418038
Tssk4	3.1012697923	84.9675143162	9.68e-07	9.68e-07	5.8022216631	8.58173761896548
Capns2	3.4671282548	83.2992893983	1.035e-06	1.035e-06	5.7811045105	11.0588407334225
