gene_short_name	logFC	t	P.Value	adj.P.Val	B	FC
Clec4e	2.9017159659	893.1820733639	3.71811454634313e-10	3.71811454634313e-10	9.9731768553	7.47314733614025
Il12a	3.0763353356	714.579583442	7.87203096328802e-10	7.87203096328802e-10	9.9431775788	8.43469169229936
Cela3b	3.3157334213	537.0181826622	2.05687901656947e-09	2.05687901656947e-09	9.8803057513	9.95715384735841
Olr1694	3.3874494416	503.6013705563	2.55282663819603e-09	2.55282663819603e-09	9.8608681216	10.4646303182281
Serp2	3.4434233046	481.8033436201	3e-09	3e-09	9.846068613	10.8786173881529
Plac1	3.588216575	438.4339815141	4.06787407040761e-09	4.06787407040761e-09	9.8102082837	12.0270971770039
Il20rb	3.6585582383	422.4734816565	4.60802422517015e-09	4.60802422517015e-09	9.7943401028	12.6280348166596
ERCC-00098	3.7124624873	412.0147209414	5e-09	5e-09	9.7829978842	13.1087887998611
Vsig2	3.7587418438	404.0116485424	5.35500509711913e-09	5.35500509711913e-09	9.7737611113	13.536115173154
Lhx9	3.9239734504	381.6104989807	6.48713768731311e-09	6.48713768731311e-09	9.7449976779	15.1786697099518
Hrh1	4.1173091757	364.2001301506	7.58994697113066e-09	7.58994697113066e-09	9.7192066848	17.3553574701058
Adipoq	4.1458869185	362.2333738581	7.72939216064586e-09	7.72939216064586e-09	9.7160779852	17.7025700300751
Grin2a	5.9268248027	359.5992803695	7.92140528324325e-09	7.92140528324325e-09	9.7118142382	60.8347944038929
Spo11	4.2345244662	356.9042467404	8.12431529902179e-09	8.12431529902179e-09	9.7073626835	18.8243020021338
Cpvl	4.2699058221	355.0876483049	8.26490446141395e-09	8.26490446141395e-09	9.7043099961	19.2916658584775
Cpa1	4.2966201057	353.7971472936	8.36670057886195e-09	8.36670057886195e-09	9.7021154004	19.652216131855
Slc35f1	5.7135708437	353.7884720842	8.36739037754786e-09	8.36739037754786e-09	9.7021005737	52.4754542010843
Slc7a9	4.3969622447	349.7678682818	8.69518931551413e-09	8.69518931551413e-09	9.6951210391	21.0677194039434
Gpr83	5.5397723097	349.6324604283	8.70651667911162e-09	8.70651667911162e-09	9.6948821749	46.5197780890644
Kirrel3	5.5360424797	349.6026282438	8.70901482397015e-09	8.70901482397015e-09	9.6948295161	46.3996648554921
Kcnj11	5.2615582714	344.672340854	9.13498242049743e-09	9.13498242049743e-09	9.6859561601	38.3607300421497
Kcng1	5.1091462914	342.9449563466	9.29060509374784e-09	9.29060509374784e-09	9.6827652159	34.5148734957424
RGD1312005	3.5940974004	269.6010354287	2.08639848190471e-08	2.08639848190471e-08	9.4940499524	12.0762230204257
Insig2	-2.3218868172	-117.2114798497	3.43221580639662e-07	3.43221580639662e-07	8.059049692	-4.99985694448345
Pon3	-0.6377496538	-64.9632037788	2.49458468455912e-06	2.49458468455912e-06	6.2050737624	-1.55590033933525
Hes6	1.3211159283	60.7029230905	3.13309716333654e-06	3.13309716333654e-06	5.9578956439	2.49859301861749
C2	5.9948506655	57.9939291577	3.65246006568056e-06	3.65246006568056e-06	5.7885636303	63.771975391928
Idua	3.3059028591	54.5025190277	4.49959144380968e-06	4.49959144380968e-06	5.554741091	9.88953617339368
Slc7a11	-3.742253117	-45.8458201281	8.04371052500684e-06	8.04371052500684e-06	4.8847954872	-13.3822900798012
Slc25a25	-2.4604379638	-42.1898345643	1.06324816313479e-05	1.06324816313479e-05	4.5546862551	-5.50383783759428
Lrrtm3	-5.6100104547	-38.4868191535	1.44726510944197e-05	1.44726510944197e-05	4.1847067969	-48.8406486163381
Clk1	0.5955880409	33.5928707539	2.28411570289767e-05	2.28411570289767e-05	3.6288450793	1.51108837800456
Nipsnap3b	0.2075559465	33.276157885	2.35785131255157e-05	2.35785131255157e-05	3.5898190746	1.15473031029045
Sbds	0.7487422046	31.4682839992	2.84362438345118e-05	2.84362438345118e-05	3.3589655147	1.68032721970761
Cyp4a1	4.033730746	31.1803578256	2.93262737713287e-05	2.93262737713287e-05	3.3208675938	16.3784933599572
Aldh1a1	1.703698648	30.8780373848	3.03000680733036e-05	3.03000680733036e-05	3.2804519748	3.25734978179291
